customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnFlag,SeniorCitizenLabel,TenureGroup,MonthlyChargeGroup,PredictedChurn,ChurnProbability,RiskLevel,RecommendedAction
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,No,0-12 Months,Low,1,0.8096558319061189,High Risk,Offer discounted annual contract
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,No,25-48 Months,Medium,0,0.11640870810320288,Low Risk,Maintain regular engagement
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,No,0-12 Months,Medium,1,0.5155958869047755,Medium Risk,Send personalized loyalty offer
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,No,25-48 Months,Medium,0,0.08103963344529046,Low Risk,Maintain regular engagement
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,No,0-12 Months,High,1,0.8525701623157708,High Risk,Offer discounted annual contract
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,No,0-12 Months,High,1,0.9116598647035168,High Risk,Offer discounted annual contract
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,No,13-24 Months,High,1,0.7236915426856341,High Risk,Offer discounted annual contract
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,No,0-12 Months,Low,1,0.5645186915618956,Medium Risk,Send personalized loyalty offer
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,No,25-48 Months,Very High,1,0.8147084439941531,High Risk,Offer discounted annual contract
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,No,61-72 Months,Medium,0,0.029969547026427738,Low Risk,Maintain regular engagement
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,No,13-24 Months,Medium,0,0.38483491700343686,Medium Risk,Send personalized loyalty offer
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,No,13-24 Months,Low,0,0.07776327552226174,Low Risk,Maintain regular engagement
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,No,49-60 Months,Very High,0,0.4075677082189946,Medium Risk,Send personalized loyalty offer
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,No,49-60 Months,Very High,1,0.6850043706548145,High Risk,Offer discounted annual contract
